t,complexity
392.5,439.99784224850873
393.0,440.1104852626565
393.5,440.19714129120706
394.0,440.2727123340315
394.5,440.40590520734816
395.0,440.5896457756518
395.5,440.83462299139586
396.0,441.09777800906227
396.5,441.4026104846987
397.0,441.7740009315215
397.5,442.1395672766203
398.0,442.4828807531868
398.5,442.8017910524678
399.0,443.0989605090639
399.5,443.38405519812704
400.0,443.6623764930174
400.5,443.9405795552468
401.0,444.14006372050795
401.5,444.31399971465174
402.0,444.49396789299925
402.5,444.6194194831721
403.0,444.8064408708538
403.5,444.9686505855238
404.0,445.1154921012136
404.5,445.36065652303495
405.0,445.73228401448193
405.5,446.1784769066685
406.0,446.6529276775877
406.5,447.2317475371677
407.0,447.89947655902915
407.5,448.70748715149557
408.0,449.6578056618774
408.5,450.6518776745084
409.0,451.6170865558476
409.5,452.58065086683615
410.0,453.5822783693505
410.5,454.50667892712835
411.0,455.31294797051635
411.5,456.07860785653185
412.0,456.7936633274133
412.5,457.47907226436394
413.0,458.1475079602443
413.5,458.7171267446033
414.0,459.2279117766015
414.5,459.76835134543296
415.0,460.3227576260794
415.5,460.8313046144412
416.0,461.2927933133259
416.5,461.68693339563043
417.0,462.07725644018575
417.5,462.48643965881814
418.0,462.8941377398995
418.5,463.19253544861283
419.0,463.43355771002035
419.5,463.634727837865
420.0,463.777193316545
420.5,463.83956602066064
421.0,463.8297857960122
421.5,463.77979087097606
422.0,463.7379071816679
422.5,463.7621296394649
423.0,463.8437520821318
423.5,463.98993423944233
424.0,464.1966496925282
424.5,464.45502944376204
425.0,464.8119106038651
425.5,465.2475560947456
426.0,465.72124234513876
426.5,466.2257481334054
427.0,466.7394847680017
427.5,467.1690317962926
428.0,467.5307224760826
428.5,467.8524284008417
429.0,468.091163204821
429.5,468.2723017923217
430.0,468.43500182570597
430.5,468.60435531616446
431.0,468.8250678541181
431.5,469.08308428012
432.0,469.3328584777301
432.5,469.6174704860155
433.0,469.91087232832007
433.5,470.16239728477655
434.0,470.333484131911
434.5,470.46111709318035
435.0,470.61660046165935
435.5,470.7595563737107
436.0,470.8780352583213
436.5,470.98115450396386
437.0,471.0240801311337
437.5,470.97067182823554
438.0,470.84789009218645
438.5,470.6917181307928
439.0,470.4997091916726
439.5,470.35042203341106
440.0,470.2619554674182
440.5,470.21939154883654
441.0,470.22188230301384
441.5,470.21759135507517
442.0,470.1833465431618
442.5,470.1454312927401
443.0,470.14253921335205
443.5,470.15446441231126
444.0,470.19349432145174
444.5,470.2724557475831
445.0,470.32094416170725
445.5,470.3399059830736
446.0,470.33742917268535
446.5,470.3251873629917
447.0,470.2439607230025
447.5,470.0417458511137
448.0,469.7562664914446
448.5,469.38338827537575
449.0,468.91190332236636
449.5,468.3819951574998
450.0,467.8334195978437
450.5,467.29385580211806
451.0,466.7836248190162
451.5,466.29156578742925
452.0,465.8529168412878
452.5,465.46371026399345
453.0,465.1654978695503
453.5,464.89073923795667
454.0,464.64361974956876
454.5,464.43293599790974
455.0,464.19873975213943
455.5,463.9659652615919
456.0,463.6944500428969
456.5,463.29750810217837
457.0,462.8050992152426
457.5,462.3291230290679
458.0,461.92460285954917
458.5,461.5471398259271
459.0,461.23928478533014
459.5,461.06091849512484
460.0,460.97714256642604
460.5,460.9423472959022
461.0,460.9600995158437
461.5,461.05780579909435
462.0,461.1852218269937
462.5,461.2981046914385
463.0,461.4203540788672
463.5,461.53533443129515
464.0,461.56593931449237
464.5,461.5729409003519
465.0,461.5709069022333
465.5,461.5422302208763
466.0,461.515800090428
466.5,461.5270061012173
467.0,461.5655801354091
467.5,461.6231962874266
468.0,461.6796707558645
468.5,461.7476377803228
469.0,461.7442302182606
469.5,461.6312406131555
470.0,461.5077201193746
470.5,461.3805081859708
471.0,461.2103420786509
471.5,460.98978854919767
472.0,460.7422938353536
472.5,460.4615636628653
473.0,460.1391489610291
473.5,459.7612439210974
474.0,459.3279601078267
474.5,458.8965078031452
475.0,458.46077521442925
475.5,458.0243298241733
476.0,457.531653789966
476.5,456.95886146943457
477.0,456.3590366897302
477.5,455.6963276754627
478.0,454.99523048116987
478.5,454.3010951470643
479.0,453.6057466926484
479.5,452.9283445307188
480.0,452.3138521471385
480.5,451.74689641262785
481.0,451.183694945177
481.5,450.62976903660433
482.0,450.0479809457225
482.5,449.4513312673799
483.0,448.87582734692955
483.5,448.28298256274405
484.0,447.6514967731362
484.5,446.9897115435298
485.0,446.3660557514378
485.5,445.8289996704347
486.0,445.35723351343097
486.5,444.94226934034776
487.0,444.6384620741529
487.5,444.4406585848531
488.0,444.3672266333889
488.5,444.45066882097785
489.0,444.5717066262027
489.5,444.65047098949475
490.0,444.7532944062685
